Geo Point;Geo Shape;gml_id;objectid;circ_apaisee;type_agt_velo;sens;jalonnement;c_insee;annee_mes;etat
48.1260914882, -1.63356338546;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.633528826018629, 48.12606954933695], [-1.633597944899771, 48.1261134270206]]]}";circ_apais_amgt_velo.780;780;zone 30;;;;35238;;
48.1138992815, -1.67989604862;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.679554936883017, 48.11368859777778], [-1.679992057435499, 48.11394417783949], [-1.680089808972141, 48.113992383304875], [-1.680127426399854, 48.114010934512464], [-1.680136782538198, 48.11416887271502]]]}";circ_apais_amgt_velo.888;888;aire piétonne;;;;35238;;
48.1125929026, -1.68146027273;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.681445935733062, 48.1124585090277], [-1.681474609722003, 48.11272729614731]]]}";circ_apais_amgt_velo.892;892;aire piétonne;;;;35238;;
48.1011841606, -1.67756709221;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.677581362169162, 48.10165243652735], [-1.677552822244919, 48.100715884598046]]]}";circ_apais_amgt_velo.895;895;zone 30;bande cyclable;contre-sens vélo;non;35238;2009;
48.0909412214, -1.66796278621;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.668287941996392, 48.09094743740567], [-1.667637630422354, 48.090935005419055]]]}";circ_apais_amgt_velo.896;896;zone de rencontre;;;;35238;;
48.1152317104, -1.67688624784;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.6768842975107, 48.11557442278147], [-1.676888198178229, 48.11488899794733]]]}";circ_apais_amgt_velo.900;900;zone 30;;;;35238;;
48.0988363101, -1.71283012173;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.71266104631195, 48.09888044138582], [-1.712886698053569, 48.09885605161809], [-1.712956814476192, 48.09887552422704], [-1.712982637112459, 48.098853379721426], [-1.712996605561299, 48.098841363021805], [-1.71290712011971, 48.09878952400107], [-1.712818186824207, 48.09875550409812], [-1.712794494591689, 48.09878477003873], [-1.712755365043658, 48.09882764473709], [-1.71266104631195, 48.09888044138582]]]}";circ_apais_amgt_velo.907;907;zone de rencontre;;;;35238;;
48.1047810552, -1.65276079237;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.653352092289426, 48.10428552498429], [-1.653357538818889, 48.104380186004306], [-1.653458274407779, 48.10472878299307], [-1.652257167427853, 48.10489714329435], [-1.652196368466863, 48.10491663352394], [-1.651730513715267, 48.104977432054255]]]}";circ_apais_amgt_velo.916;916;zone 30;;;;35238;;
48.126245168, -1.66345615376;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.664016426880156, 48.12543410915972], [-1.66383770399909, 48.12562430455455], [-1.663725386752039, 48.12574401466844], [-1.663591901826148, 48.125936217360106], [-1.663463945161561, 48.12614639714361], [-1.663380581224036, 48.12616365355776], [-1.663298339214468, 48.12635251663546], [-1.663227339933677, 48.12654813229015], [-1.663184549748466, 48.12673719781522], [-1.66315854779647, 48.127070202991575], [-1.663151994136106, 48.12717183808354]]]}";circ_apais_amgt_velo.922;922;aire piétonne;;;;35238;;
48.1133754596, -1.69014825445;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.689438423950717, 48.11432050922128], [-1.689579378084126, 48.114169551294935], [-1.68978321366155, 48.113905961290016], [-1.689886623676285, 48.11374693760769], [-1.690013233850367, 48.11356930629834], [-1.690102227730045, 48.113444120318036], [-1.690326748658302, 48.11312841372023], [-1.690531504468836, 48.112833606987905], [-1.690630733186838, 48.11269079227316], [-1.690817518061305, 48.112441051285195], [-1.690823723532053, 48.112407560757084]]]}";circ_apais_amgt_velo.821;821;aire piétonne;;;;35238;;
48.1035840762, -1.70900555489;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.70908850256159, 48.103791482402826], [-1.708922607223056, 48.10337667002497]]]}";circ_apais_amgt_velo.823;823;zone de rencontre;;;;35238;;
48.089885417, -1.65690212178;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.657250728065289, 48.089889380141834], [-1.656553515498881, 48.08988145376937]]]}";circ_apais_amgt_velo.826;826;zone de rencontre;;;;35238;;
48.129243761, -1.70080800066;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.700300846633516, 48.1292812467291], [-1.700599403576509, 48.12927697543144], [-1.701224499779428, 48.129194478892906], [-1.701311179910176, 48.1291708417266]]]}";circ_apais_amgt_velo.830;830;zone 30;;;;35238;;
48.1465136567, -1.65191724804;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.646999647206292, 48.145356982910165], [-1.65045277070539, 48.14556895581238], [-1.652063991419166, 48.14596346108098], [-1.652851794309831, 48.146634582498535], [-1.654941046277577, 48.14784788352567], [-1.655633801809118, 48.14836060799312], [-1.656444903832839, 48.148841501845126]]]}";circ_apais_amgt_velo.1411;1411;;route partagée;double-sens;oui;35278;2015;
48.1265178311, -1.65217401389;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.651871950222544, 48.12658575876434], [-1.652476077558604, 48.12644990349964]]]}";circ_apais_amgt_velo.832;832;;piste cyclable;sens unique;non;35238;1990;
48.0894851511, -1.66515143741;"{""type"": ""MultiLineString"", ""coordinates"": [[[-1.66511175526534, 48.090511067211025], [-1.665191119554264, 48.088459235078886]]]}";circ_apais_amgt_velo.834;834;zone 30;;;;35238;;
