Geo Point;Geo Shape;gml_id;objectid;id;c_insee;site_nom;site_adr;site_etat;invest;site_type;i_acces;i_modal;i_tarif;b_type;p_domestic;p_type2;p_type3;p_type4;p_ccs;ch_normale;ch_rapide;ch_acceler;maj_date;x_cc48;y_cc48
48.0734152108, -1.84667800063;"{""type"": ""Point"", ""coordinates"": [-1.846678000632159, 48.07341521082423]}";borne_veh_elec.fre-213502388-35196-bornerechargeelectrique-001;4;fre-213502388-35196-bornerechargeelectrique-001;35196;Mordelles Mairie;31 Avenue du Maréchal Leclerc, Mordelles;en service;Rennes Métropole;espace public;accès public;digicode;gratuit (provisoire);borne charge normale et accélérée;2;1;1;0;0;oui;non;oui;2014-06-09T22:00:00Z;1339096.78665676;7219510.20995491
48.029762908, -1.75841765369;"{""type"": ""Point"", ""coordinates"": [-1.758417653693406, 48.029762908025106]}";borne_veh_elec.fre-213502388-35047-bornerechargeelectrique-001;5;fre-213502388-35047-bornerechargeelectrique-001;35047;Bruz Vert Buisson;5 bis Place du Vert Buisson, Bruz;en service;Rennes Métropole;espace public;accès public;digicode;gratuit (provisoire);borne charge normale et accélérée;2;1;1;0;0;oui;non;oui;2014-06-09T22:00:00Z;1345361.22521424;7214256.70202117
48.1061492349, -1.67716224362;"{""type"": ""Point"", ""coordinates"": [-1.677162243617571, 48.106149234889074]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-006;11;fre-213502388-35238-bornerechargeelectrique-006;35000;Parking Charles De Gaulle;10 Rue Yvonne Jean-Haffen, Rennes;en service;Rennes Métropole;parking payant;accès public;badge d'accès;gratuit (provisoire);borne charge rapide;0;0;1;1;0;oui;oui;non;2012-06-19T22:00:00Z;1351924.5;7222363.3
48.1109995579, -1.6836300089;"{""type"": ""Point"", ""coordinates"": [-1.683630008896958, 48.11099955787356]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-010;15;fre-213502388-35238-bornerechargeelectrique-010;35000;CCAS;3 Rue du Griffon, Rennes;en service;Ville de Rennes;espace privé;accès réservé;personnel autorisé;gratuit;borne charge normale;0;0;2;0;0;oui;non;non;2012-06-19T22:00:00Z;1351476.5;7222930.8
48.1305281329, -1.6383229456;"{""type"": ""Point"", ""coordinates"": [-1.638322945603571, 48.13052813290109]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-013;18;fre-213502388-35238-bornerechargeelectrique-013;35000;Renault Rennes Longchamps;300 Rue de Fougères, Rennes;en service;Renault;espace privé;accès réservé clientèle;réservé à la clientèle;gratuit;borne charge accélérée;0;0;2;0;0;oui;non;oui;2012-06-19T22:00:00Z;1354974.4;7224894.3
48.1556474958, -1.70730543615;"{""type"": ""Point"", ""coordinates"": [-1.707305436150378, 48.155647495848456]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-023;25;fre-213502388-35238-bornerechargeelectrique-023;35189;Montgermont ZA Decoparc;rue de galilée;en service;Rennes MÚtropole;"espace public
Rennes MÚtropole";accès public;libre accès;gratuit (provisoire);borne charge rapide;0;1;0;1;1;non;oui;non;;;
48.0924137533, -1.674211241;"{""type"": ""Point"", ""coordinates"": [-1.674211240996722, 48.09241375333125]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-020;27;fre-213502388-35238-bornerechargeelectrique-020;35000;Rennes Fréville;3 Avenue Henri Fréville, Rennes;en service;Rennes Métropole;espace public;accès public;digicode;gratuit (provisoire);borne charge normale et accélérée;2;1;1;0;0;oui;non;oui;2014-06-09T22:00:00Z;1352051.3140362;7220825.63598726
48.1135228591, -1.68623278686;"{""type"": ""Point"", ""coordinates"": [-1.686232786856183, 48.11352285909651]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-005;10;fre-213502388-35238-bornerechargeelectrique-005;35000;Parking Chézy-Dinan;8 Rue du Louis d'or, Rennes;en service;Rennes Métropole;parking payant;accès public;badge d'accès;gratuit (provisoire);borne charge normale;1;0;1;0;0;oui;non;non;2012-06-19T22:00:00Z;1351300.1;7223222.6
48.1110020808, -1.68367867622;"{""type"": ""Point"", ""coordinates"": [-1.68367867621842, 48.11100208083744]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-011;16;fre-213502388-35238-bornerechargeelectrique-011;35000;CCAS;3 Rue du Griffon, Rennes;en service;Ville de Rennes;espace privé;accès réservé;personnel autorisé;gratuit;borne charge normale;0;0;2;0;0;oui;non;non;2012-06-19T22:00:00Z;1351472.9;7222931.3
48.1311223281, -1.63728482029;"{""type"": ""Point"", ""coordinates"": [-1.637284820286654, 48.13112232812952]}";borne_veh_elec.fre-213502388-35238-bornerechargeelectrique-014;19;fre-213502388-35238-bornerechargeelectrique-014;35000;Renault Rennes Longchamps;300 Rue de Fougères, Rennes;en service;Renault;espace privé;accès réservé clientèle;réservé à la clientèle;gratuit;borne charge accélérée;0;0;2;0;0;oui;non;oui;2012-06-19T22:00:00Z;1355055.5;7224955.6
