ap_timeo;ap_datemaj;equip_mobilier;equip_banc;equip_eclairage;equip_poubelle;access_pmr;access_li_ok;access_li_nok;Commune (nom);Coordonnées;Commune (code INSEE);Identifiant
1003;2011-08-25Z;Abri simple;OUI;OUI;NON;OUI;C1;;Rennes;48.127369, -1.640433;35238;1003
1007;2011-08-25Z;Abri simple;OUI;OUI;NON;OUI;C1 14;;Rennes;48.121446, -1.655036;35238;1007
1010;2011-08-25Z;Abri simple;OUI;OUI;NON;OUI;C1 36 31 9;;Rennes;48.119241, -1.667693;35238;1010
1012;2014-08-19Z;Abri simple;OUI;NON;OUI;OUI;9 C1;;Rennes;48.11605, -1.674245;35238;1012
1015;2011-08-25Z;Poteau;NON;NON;NON;NON;;C1 C5 9;Rennes;48.11252, -1.680352;35238;1015
1023;2011-08-25Z;Abri double;OUI;OUI;OUI;PARTIEL;57 9 C1 C5;APIBUS;Rennes;48.108066, -1.680048;35238;1023
1024;2011-08-25Z;Abri bâti;NON;NON;NON;OUI;C1 9 C5;;Rennes;48.109977, -1.680268;35238;1024
1033;2011-08-25Z;Abri double;OUI;NON;NON;OUI;C1 14;;Rennes;48.12128, -1.655029;35238;1033
1039;2011-08-25Z;Abri simple;OUI;OUI;NON;OUI;C1;;Rennes;48.128998, -1.63238;35238;1039
1043;2011-08-25Z;Abri auvent;NON;OUI;NON;OUI;12 C2;;Rennes;48.123614, -1.684238;35238;1043
1052;2011-08-25Z;Abri double;OUI;OUI;NON;OUI;C6 C4;;Rennes;48.109934, -1.678869;35238;1052
1056;2017-09-06Z;Abri double;OUI;OUI;OUI;OUI;C2 11 C1;;Rennes;48.104385, -1.672374;35238;1056
1064;2011-08-25Z;Abri simple;OUI;NON;NON;OUI;C2;;Rennes;48.090281, -1.645018;35238;1064
1073;2011-08-25Z;Abri simple;OUI;OUI;NON;OUI;11 C2;;Rennes;48.092528, -1.639658;35238;1073
1079;2011-08-25Z;Abri simple;OUI;OUI;NON;OUI;C2;;Rennes;48.092772, -1.647205;35238;1079
1080;2011-08-25Z;Abri auvent;NON;NON;NON;NON;;C2;Rennes;48.095953, -1.651543;35238;1080
1082;2011-08-25Z;Abri auvent;NON;NON;NON;OUI;C2;;Rennes;48.099871, -1.657775;35238;1082
1091;2011-08-25Z;Abri simple;OUI;OUI;NON;OUI;C4 11 C2 C6;;Rennes;48.109734, -1.68385;35238;1091
1096;2011-08-25Z;Abri simple;OUI;OUI;OUI;OUI;C2;;Rennes;48.118193, -1.689248;35238;1096
1099;2011-08-25Z;Abri auvent;NON;NON;NON;OUI;C2 12;;Rennes;48.123587, -1.683606;35238;1099
1107;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;C3;;Rennes;48.13087, -1.652121;35238;1107
1120;2011-08-25Z;Abri simple;OUI;OUI;NON;OUI;C3 44;;Rennes;48.10997, -1.67795;35238;1120
1121;2011-08-25Z;Abri simple;OUI;OUI;NON;OUI;C3 12;;Rennes;48.106067, -1.677817;35238;1121
1130;2011-08-25Z;Abri simple;OUI;NON;NON;OUI;C3 13;;Rennes;48.085168, -1.682537;35238;1130
1136;2011-08-25Z;Abri double;OUI;OUI;NON;OUI;C3;;Rennes;48.091086, -1.682019;35238;1136
1149;2011-08-25Z;Poteau;NON;NON;NON;NON;;C3 44;Rennes;48.114248, -1.658666;35238;1149
1150;2011-08-25Z;Abri auvent;NON;NON;NON;OUI;C3 44;;Rennes;48.116588, -1.65539;35238;1150
1160;2011-08-25Z;Abri double;OUI;OUI;OUI;OUI;C4 167 41 164 40 C6 150;;Rennes;48.114099, -1.637565;35238;1160
