Code INSEE;Commune;Age;Moins de 2 années;De 2 à 4 années;De 5 à 9 années;De 10 à 19 années;De 20 à 29 années;De 30 à 39 années;De 40 à 49 années;De 50 à 59 années;De 60 à 69 années;70 années ou plus;geolocalisation
35001;Acigné;15 à 19 ans;2;2;0;2;2;0;0;0;0;0;48.1464008617, -1.51879762112
35001;Acigné;20 à 24 ans;53;19;3;0;0;0;0;0;0;0;48.1464008617, -1.51879762112
35022;Bécherel;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.2965087434, -1.9428236566
35022;Bécherel;40 à 54 ans;17;24;18;28;9;1;0;0;0;0;48.2965087434, -1.9428236566
35024;Betton;20 à 24 ans;104;24;5;0;2;0;0;0;0;0;48.1812360423, -1.64589552684
35024;Betton;55 à 64 ans;28;65;83;194;225;161;7;4;4;0;48.1812360423, -1.64589552684
35024;Betton;65 à 79 ans;16;39;74;94;106;229;175;10;2;8;48.1812360423, -1.64589552684
35032;Bourgbarré;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;47.988587599, -1.62222742311
35032;Bourgbarré;15 à 19 ans;0;1;1;0;0;0;0;0;0;0;47.988587599, -1.62222742311
35032;Bourgbarré;65 à 79 ans;4;9;18;30;16;50;53;6;2;6;47.988587599, -1.62222742311
35039;Brécé;25 à 39 ans;50;83;74;9;0;1;0;0;0;0;48.1107701278, -1.48991638652
35051;Cesson-Sévigné;65 à 79 ans;23;95;113;172;271;444;162;29;10;1;48.1202268032, -1.59714447272
35055;Chantepie;Moins de 15 ans;0;2;0;1;0;0;0;0;0;0;48.0817134724, -1.6038253094
35055;Chantepie;40 à 54 ans;125;380;405;236;93;5;4;0;0;0;48.0817134724, -1.6038253094
35055;Chantepie;55 à 64 ans;46;104;145;159;176;96;4;1;1;0;48.0817134724, -1.6038253094
35058;La Chapelle-Chaussée;15 à 19 ans;1;0;0;1;0;0;0;0;0;0;48.2664350425, -1.86414756163
35058;La Chapelle-Chaussée;80 ans ou plus;0;0;3;6;7;4;0;1;3;2;48.2664350425, -1.86414756163
35059;La Chapelle-des-Fougeretz;65 à 79 ans;10;16;13;42;30;79;55;5;0;2;48.1768937301, -1.74067185823
35065;La Chapelle-Thouarault;20 à 24 ans;3;6;2;0;0;0;0;0;0;0;48.1252826202, -1.8581233152
35065;La Chapelle-Thouarault;55 à 64 ans;4;7;9;23;43;75;3;1;0;0;48.1252826202, -1.8581233152
35065;La Chapelle-Thouarault;80 ans ou plus;1;6;1;6;7;7;6;3;0;2;48.1252826202, -1.8581233152
35066;Chartres-de-Bretagne;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.0451561683, -1.70650297343
35066;Chartres-de-Bretagne;80 ans ou plus;8;15;16;22;30;34;27;16;2;3;48.0451561683, -1.70650297343
35079;Chevaigné;40 à 54 ans;25;51;56;95;41;2;1;0;0;0;48.2251828699, -1.63670416498
35088;Corps-Nuds;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;47.9823871404, -1.57026704551
35120;Gévezé;15 à 19 ans;5;4;0;1;0;0;0;0;0;0;48.2133254705, -1.79930703575
35120;Gévezé;20 à 24 ans;41;41;1;0;0;0;0;0;0;0;48.2133254705, -1.79930703575
35131;L'Hermitage;55 à 64 ans;11;29;26;55;69;75;6;1;0;0;48.1221023417, -1.8166504183
35131;L'Hermitage;80 ans ou plus;3;5;4;14;16;21;37;13;5;1;48.1221023417, -1.8166504183
35139;Laillé;20 à 24 ans;16;11;3;2;0;0;0;0;0;0;47.9672360017, -1.71452676529
35139;Laillé;80 ans ou plus;30;47;3;15;18;15;17;5;9;7;47.9672360017, -1.71452676529
35144;Langan;20 à 24 ans;7;2;0;0;0;0;0;0;0;0;48.2363756072, -1.84565830249
35180;Miniac-sous-Bécherel;80 ans ou plus;0;0;0;2;7;1;6;5;5;3;48.2810885875, -1.92727123797
35189;Montgermont;20 à 24 ans;43;26;2;0;0;0;0;0;0;0;48.1538376773, -1.71729477816
35196;Mordelles;55 à 64 ans;40;74;78;88;124;152;9;4;6;0;48.0857602983, -1.84210731238
35204;Nouvoitou;25 à 39 ans;50;82;70;19;0;5;0;0;0;0;48.0299058856, -1.55180159639
35204;Nouvoitou;65 à 79 ans;4;5;6;22;17;38;20;6;6;6;48.0299058856, -1.55180159639
35206;Noyal-Châtillon-sur-Seiche;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.0524815273, -1.6633106381
35206;Noyal-Châtillon-sur-Seiche;40 à 54 ans;93;191;167;299;141;10;4;3;0;0;48.0524815273, -1.6633106381
35208;Orgères;25 à 39 ans;104;171;81;31;0;1;0;0;0;0;47.9853322097, -1.66640026267
35210;Pacé;65 à 79 ans;18;40;89;101;93;154;147;11;4;6;48.152548244, -1.77716643787
35216;Parthenay-de-Bretagne;40 à 54 ans;17;45;30;91;8;2;1;0;0;0;48.1884515911, -1.829797127
35238;Rennes;25 à 39 ans;9024;13119;5826;1373;110;103;4;0;3;4;48.1119791219, -1.68186449144
35240;Le Rheu;15 à 19 ans;19;6;1;0;1;0;0;0;0;0;48.097397419, -1.78149989185
35240;Le Rheu;55 à 64 ans;31;75;64;132;135;69;3;3;0;0;48.097397419, -1.78149989185
35245;Romillé;55 à 64 ans;12;20;29;36;57;84;5;1;1;0;48.2223488257, -1.87904298142
35245;Romillé;80 ans ou plus;5;7;14;19;19;11;8;10;3;4;48.2223488257, -1.87904298142
35250;Saint-Armel;15 à 19 ans;1;0;0;0;1;1;0;0;0;0;48.0133072658, -1.58086136058
35250;Saint-Armel;40 à 54 ans;20;41;45;110;35;0;4;3;0;0;48.0133072658, -1.58086136058
35266;Saint-Erblon;40 à 54 ans;27;95;59;113;64;2;1;0;0;0;48.019118287, -1.64173794803
35266;Saint-Erblon;55 à 64 ans;8;23;16;38;52;46;2;0;2;0;48.019118287, -1.64173794803
35275;Saint-Gilles;40 à 54 ans;56;87;96;194;60;3;0;2;0;0;48.1520929859, -1.85374690386
35278;Saint-Grégoire;Moins de 15 ans;1;0;2;1;0;0;0;0;0;0;48.1588840471, -1.68571943452
35278;Saint-Grégoire;40 à 54 ans;135;293;306;287;66;8;1;0;0;0;48.1588840471, -1.68571943452
35278;Saint-Grégoire;80 ans ou plus;4;15;27;43;35;50;44;11;2;4;48.1588840471, -1.68571943452
35281;Saint-Jacques-de-la-Lande;80 ans ou plus;10;15;23;37;26;42;72;53;8;6;48.0755625884, -1.72405381322
35315;Saint-Sulpice-la-Forêt;20 à 24 ans;4;3;0;1;0;0;0;0;0;0;48.21225732, -1.57663512362
35315;Saint-Sulpice-la-Forêt;65 à 79 ans;1;0;4;11;7;17;12;1;0;0;48.21225732, -1.57663512362
35334;Thorigné-Fouillard;25 à 39 ans;216;277;208;20;1;4;0;0;0;0;48.1566082899, -1.58409867633
35351;Le Verger;25 à 39 ans;25;40;61;17;1;1;0;0;0;0;48.0658260742, -1.93692739781
35351;Le Verger;65 à 79 ans;1;2;8;9;4;19;14;4;1;2;48.0658260742, -1.93692739781
35001;Acigné;40 à 54 ans;102;158;187;271;121;9;4;2;0;0;48.1464008617, -1.51879762112
35022;Bécherel;20 à 24 ans;9;3;3;2;0;0;0;0;0;0;48.2965087434, -1.9428236566
35022;Bécherel;55 à 64 ans;4;4;10;9;9;9;2;0;0;0;48.2965087434, -1.9428236566
35024;Betton;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.1812360423, -1.64589552684
35039;Brécé;40 à 54 ans;24;42;72;81;39;2;0;0;0;0;48.1107701278, -1.48991638652
35039;Brécé;80 ans ou plus;2;1;0;2;4;8;6;5;1;0;48.1107701278, -1.48991638652
35051;Cesson-Sévigné;15 à 19 ans;85;31;0;16;0;4;0;0;0;0;48.1202268032, -1.59714447272
35055;Chantepie;20 à 24 ans;135;106;6;2;1;0;0;0;0;0;48.0817134724, -1.6038253094
35055;Chantepie;25 à 39 ans;389;752;293;38;3;0;0;0;0;0;48.0817134724, -1.6038253094
35058;La Chapelle-Chaussée;20 à 24 ans;6;3;1;1;0;0;0;0;0;0;48.2664350425, -1.86414756163
35058;La Chapelle-Chaussée;65 à 79 ans;4;2;4;8;5;12;5;3;2;4;48.2664350425, -1.86414756163
35059;La Chapelle-des-Fougeretz;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.1768937301, -1.74067185823
35059;La Chapelle-des-Fougeretz;15 à 19 ans;4;2;0;2;0;0;0;0;0;0;48.1768937301, -1.74067185823
35059;La Chapelle-des-Fougeretz;20 à 24 ans;24;24;2;1;3;1;0;0;0;0;48.1768937301, -1.74067185823
35076;Chavagne;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.0561574005, -1.78649242036
35076;Chavagne;20 à 24 ans;20;9;2;0;1;0;0;0;0;0;48.0561574005, -1.78649242036
35076;Chavagne;40 à 54 ans;32;82;154;146;55;11;2;2;0;0;48.0561574005, -1.78649242036
35079;Chevaigné;25 à 39 ans;43;76;32;8;1;1;0;0;0;0;48.2251828699, -1.63670416498
35079;Chevaigné;80 ans ou plus;2;0;2;6;9;6;6;6;1;0;48.2251828699, -1.63670416498
35080;Cintré;40 à 54 ans;12;54;70;156;24;2;0;0;0;0;48.108708615, -1.88667263001
35081;Clayes;25 à 39 ans;14;42;6;5;0;0;0;0;0;0;48.1786926288, -1.8539725616
35088;Corps-Nuds;40 à 54 ans;46;60;83;148;88;7;4;1;0;0;47.9823871404, -1.57026704551
35088;Corps-Nuds;65 à 79 ans;5;17;7;36;23;39;36;6;2;2;47.9823871404, -1.57026704551
35088;Corps-Nuds;80 ans ou plus;3;2;4;10;14;13;8;8;2;2;47.9823871404, -1.57026704551
35120;Gévezé;25 à 39 ans;155;313;145;16;2;5;0;0;0;0;48.2133254705, -1.79930703575
35120;Gévezé;80 ans ou plus;7;19;10;14;20;10;10;5;5;7;48.2133254705, -1.79930703575
35131;L'Hermitage;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.1221023417, -1.8166504183
35131;L'Hermitage;25 à 39 ans;123;155;102;17;2;0;1;0;0;0;48.1221023417, -1.8166504183
35139;Laillé;15 à 19 ans;2;1;1;0;0;0;0;0;0;0;47.9672360017, -1.71452676529
35189;Montgermont;65 à 79 ans;5;14;13;53;32;76;57;2;3;1;48.1538376773, -1.71729477816
35196;Mordelles;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.0857602983, -1.84210731238
35204;Nouvoitou;15 à 19 ans;1;2;1;0;0;0;0;0;0;0;48.0299058856, -1.55180159639
35206;Noyal-Châtillon-sur-Seiche;15 à 19 ans;6;2;0;3;0;0;0;0;0;0;48.0524815273, -1.6633106381
35208;Orgères;15 à 19 ans;0;0;1;0;0;0;0;0;0;0;47.9853322097, -1.66640026267
35208;Orgères;40 à 54 ans;67;98;99;218;66;3;6;6;0;0;47.9853322097, -1.66640026267
35208;Orgères;55 à 64 ans;11;34;20;55;63;82;7;3;2;0;47.9853322097, -1.66640026267
35208;Orgères;65 à 79 ans;12;20;14;31;27;73;81;3;2;4;47.9853322097, -1.66640026267
35210;Pacé;40 à 54 ans;139;341;472;389;111;6;6;6;0;0;48.152548244, -1.77716643787
35238;Rennes;40 à 54 ans;2689;5357;5429;6582;1763;156;87;30;0;0;48.1119791219, -1.68186449144
35240;Le Rheu;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.097397419, -1.78149989185
35240;Le Rheu;80 ans ou plus;12;10;13;39;25;32;41;28;3;0;48.097397419, -1.78149989185
35245;Romillé;25 à 39 ans;110;164;126;19;2;1;0;0;0;0;48.2223488257, -1.87904298142
35245;Romillé;65 à 79 ans;14;17;31;44;22;34;18;6;1;2;48.2223488257, -1.87904298142
35250;Saint-Armel;55 à 64 ans;6;12;15;29;26;35;4;2;3;0;48.0133072658, -1.58086136058
35250;Saint-Armel;65 à 79 ans;2;3;7;15;8;23;39;1;0;0;48.0133072658, -1.58086136058
35266;Saint-Erblon;25 à 39 ans;49;145;54;9;3;2;1;0;0;0;48.019118287, -1.64173794803
35266;Saint-Erblon;65 à 79 ans;5;10;7;31;25;35;71;3;1;0;48.019118287, -1.64173794803
35275;Saint-Gilles;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.1520929859, -1.85374690386
35281;Saint-Jacques-de-la-Lande;15 à 19 ans;42;1;4;0;0;0;0;0;0;0;48.0755625884, -1.72405381322
35334;Thorigné-Fouillard;40 à 54 ans;81;186;270;308;90;10;2;0;0;0;48.1566082899, -1.58409867633
35334;Thorigné-Fouillard;80 ans ou plus;2;5;11;18;23;27;29;8;3;0;48.1566082899, -1.58409867633
35351;Le Verger;15 à 19 ans;0;0;0;0;0;0;0;0;0;0;48.0658260742, -1.93692739781
35352;Vern-sur-Seiche;Moins de 15 ans;0;0;0;0;0;0;0;0;0;0;48.0525245014, -1.60521106164
35352;Vern-sur-Seiche;20 à 24 ans;49;22;4;7;1;0;0;0;0;0;48.0525245014, -1.60521106164
35352;Vern-sur-Seiche;40 à 54 ans;65;159;346;402;153;13;4;1;0;0;48.0525245014, -1.60521106164
35363;Pont-Péan;40 à 54 ans;62;100;133;216;68;6;0;1;0;0;48.0111348801, -1.69601676125
35001;Acigné;65 à 79 ans;11;20;25;50;46;100;67;11;3;5;48.1464008617, -1.51879762112
35022;Bécherel;15 à 19 ans;0;0;0;0;0;0;0;0;0;0;48.2965087434, -1.9428236566
35022;Bécherel;25 à 39 ans;22;29;16;1;0;0;1;0;0;0;48.2965087434, -1.9428236566
35022;Bécherel;80 ans ou plus;1;0;1;8;3;2;4;5;0;4;48.2965087434, -1.9428236566
35032;Bourgbarré;55 à 64 ans;9;20;28;30;34;75;4;2;0;0;47.988587599, -1.62222742311
