Geo Point;Geo Shape;ID;Zone tarifaire;Tarif 15';Tarif 30';Tarif 1h;Tarif 1h30;Tarif 2h;Tarif 3h;Tarif 4h
48.1123867128, -1.66129260255;"{""type"": ""LineString"", ""coordinates"": [[-1.661064318681327, 48.112437586946456], [-1.661254493587078, 48.1123827270065], [-1.661284131054467, 48.112399038615656], [-1.66152180373495, 48.112335516386906]]}";3532;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1047938066, -1.69226198181;"{""type"": ""LineString"", ""coordinates"": [[-1.69223966865509, 48.10498048877289], [-1.692284294959241, 48.104607124346686]]}";4565;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.109626229, -1.67280206572;"{""type"": ""LineString"", ""coordinates"": [[-1.67279834836701, 48.109453199591925], [-1.672805783081033, 48.10979925846427]]}";4527;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1041845846, -1.69095615868;"{""type"": ""LineString"", ""coordinates"": [[-1.691002807623281, 48.10406347526736], [-1.690909509741998, 48.10430569399076]]}";4874;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1060532383, -1.69053215943;"{""type"": ""LineString"", ""coordinates"": [[-1.690329612981573, 48.106042894439085], [-1.690734705872016, 48.106063582159486]]}";4907;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1084154315, -1.66818021224;"{""type"": ""LineString"", ""coordinates"": [[-1.6680458998102, 48.10837568265409], [-1.668314524667107, 48.10845518027689]]}";4499;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1066887343, -1.69159600306;"{""type"": ""LineString"", ""coordinates"": [[-1.691762142602499, 48.106697652441916], [-1.691429863518768, 48.106679816142645]]}";4898;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.108198349, -1.66763144152;"{""type"": ""LineString"", ""coordinates"": [[-1.667228291521732, 48.108076725123034], [-1.668034591515755, 48.10831997278429]]}";4498;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1029521762, -1.69141785182;"{""type"": ""LineString"", ""coordinates"": [[-1.691298971251113, 48.10326372155412], [-1.691536732398807, 48.10264063083216]]}";4580;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1088995637, -1.68701279132;"{""type"": ""LineString"", ""coordinates"": [[-1.687359577357322, 48.10878284501064], [-1.686666005287873, 48.10901628233599]]}";71;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1047064193, -1.69075872465;"{""type"": ""LineString"", ""coordinates"": [[-1.690818296380269, 48.10454735176534], [-1.690699152920008, 48.10486548690573]]}";4876;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1084604385, -1.68835802311;"{""type"": ""LineString"", ""coordinates"": [[-1.68855489387899, 48.10839557352999], [-1.688161152343769, 48.10852530354861]]}";4558;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1059546677, -1.69340448429;"{""type"": ""LineString"", ""coordinates"": [[-1.693389470451508, 48.106100669626514], [-1.693419498120284, 48.10580866581871]]}";4912;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1064099782, -1.69012042978;"{""type"": ""LineString"", ""coordinates"": [[-1.690153753299955, 48.106320787838385], [-1.690087106268054, 48.10649916853739]]}";4880;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1068538736, -1.69206126397;"{""type"": ""LineString"", ""coordinates"": [[-1.692050263334863, 48.106933284663185], [-1.692072264605767, 48.10677446251139]]}";4573;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1071065438, -1.69203372129;"{""type"": ""LineString"", ""coordinates"": [[-1.692024366584744, 48.107208557167894], [-1.692043075985355, 48.107004530361486]]}";4572;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1067039051, -1.69277063956;"{""type"": ""LineString"", ""coordinates"": [[-1.692936051210945, 48.1067114582238], [-1.692605227911655, 48.10669635203188]]}";4895;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1060776544, -1.69103450371;"{""type"": ""LineString"", ""coordinates"": [[-1.691165907597751, 48.106084090701174], [-1.690903099814299, 48.10607121812946]]}";4905;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1010138664, -1.67263040066;"{""type"": ""LineString"", ""coordinates"": [[-1.672521046501764, 48.10073227919909], [-1.672739754826201, 48.101295453672584]]}";323;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1081743229, -1.68660774982;"{""type"": ""LineString"", ""coordinates"": [[-1.686948725571276, 48.108115195497376], [-1.686266774065678, 48.10823345029045]]}";328;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.0997613856, -1.67274682061;"{""type"": ""LineString"", ""coordinates"": [[-1.673061489666538, 48.099720430085156], [-1.67243215155551, 48.09980234121222]]}";319;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1120664736, -1.67741616026;"{""type"": ""LineString"", ""coordinates"": [[-1.677413586500107, 48.11187114626518], [-1.677418241020135, 48.11211874422102], [-1.677414932766307, 48.112261792765445]]}";57;rouge;0.50;1.00;2.00;4.00;10.00;22.00;34.00
48.1005374873, -1.67080006349;"{""type"": ""LineString"", ""coordinates"": [[-1.67190775426449, 48.10043319925578], [-1.66969237271225, 48.10064177538099]]}";309;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1082283243, -1.68595520397;"{""type"": ""LineString"", ""coordinates"": [[-1.686932153404468, 48.108066899979], [-1.684978254541505, 48.108389748610634]]}";327;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.105413945, -1.66766497811;"{""type"": ""LineString"", ""coordinates"": [[-1.668559193690929, 48.10541889517168], [-1.66727161472597, 48.105510293608226], [-1.667150049665772, 48.10550766501469], [-1.666945737046605, 48.105480778462706], [-1.666821602776495, 48.10544437366408], [-1.666753879431532, 48.10535184915742], [-1.666869788340285, 48.105280156089776], [-1.666970658214735, 48.10527671205297], [-1.667066587297619, 48.105341172050295], [-1.667131739539501, 48.10539991159559], [-1.667224070191921, 48.105417080818874], [-1.667315886527345, 48.105427495717535], [-1.668683139442313, 48.10531983364197]]}";203;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
48.1053312713, -1.68996715244;"{""type"": ""LineString"", ""coordinates"": [[-1.690430226259756, 48.10520407987181], [-1.689504078623729, 48.10545846279428]]}";262;verte;0.27;0.55;1.09;1.64;2.18;4.50;10.50
