Geo Point;Geo Shape;objectid;id_voie;nom_voie;code_insee;nom_commune;nombre_support;code_modele;libelle_modele;date_creation;gestionnaire;commentaire
48.1174872812, -1.6777579592;"{""type"": ""Point"", ""coordinates"": [-1.677757959195719, 48.11748728122687]}";513;8773;Rue de la Cochardière;35238;Rennes;4;;S 23;2005-12-31T23:00:00Z;Rennes Métropole;n°2 - pas de SV
48.1098139465, -1.67522515707;"{""type"": ""Point"", ""coordinates"": [-1.675225157074121, 48.109813946522216]}";516;9065;Quai Emile Zola;35238;Rennes;5;;S 23;1999-12-31T23:00:00Z;Rennes Métropole;n°20
48.1096012826, -1.67985481523;"{""type"": ""Point"", ""coordinates"": [-1.679854815234202, 48.10960128256755]}";519;9087;Place de la République;35238;Rennes;8;;S 23;1999-12-31T23:00:00Z;Rennes Métropole;coté OUEST
48.113188555, -1.67762495861;"{""type"": ""Point"", ""coordinates"": [-1.677624958606613, 48.11318855496832]}";525;9040;Rue Salomon de Brosse;35238;Rennes;5;;S 23;2009-12-31T23:00:00Z;Rennes Métropole;n°19
48.0859188837, -1.64220623748;"{""type"": ""Point"", ""coordinates"": [-1.642206237476175, 48.085918883662075]}";534;9709;Rue de Vern;35238;Rennes;4;;autre;2001-12-31T23:00:00Z;Rennes Métropole;complexe A.Fresnais
48.083826746, -1.66862989231;"{""type"": ""Point"", ""coordinates"": [-1.668629892311632, 48.083826745966284]}";535;9597;Boulevard du Portugal;35238;Rennes;4;;S 23;2003-12-31T23:00:00Z;Rennes Métropole;n°17
48.1145300028, -1.68125518472;"{""type"": ""Point"", ""coordinates"": [-1.681255184721939, 48.11453000283515]}";545;9051;Place Sainte-Anne;35238;Rennes;2;;S 23-1;;Rennes Métropole;angle St-Louis - pas de SV
48.1387615246, -1.6660787167;"{""type"": ""Point"", ""coordinates"": [-1.666078716696372, 48.13876152455612]}";555;9494;Rue Emile Bernard;35238;Rennes;4;;S 23;;Rennes Métropole;face n°19
48.1256043001, -1.6576493996;"{""type"": ""Point"", ""coordinates"": [-1.657649399598885, 48.12560430009632]}";556;9646;Rue Gustave Charpentier;35238;Rennes;4;;S 23;2012-03-14T23:00:00Z;Rennes Métropole;n°11
48.1064123436, -1.67585091194;"{""type"": ""Point"", ""coordinates"": [-1.675850911944096, 48.1064123435751]}";557;10227;Esplanade Général de Gaulle;35238;Rennes;11;;S 23;;Rennes Métropole;- pas de SV
48.0974574689, -1.67493088802;"{""type"": ""Point"", ""coordinates"": [-1.674930888021057, 48.097457468937066]}";563;8776;Boulevard Jacques Cartier;35238;Rennes;3;;S 23;2012-03-13T23:00:00Z;Rennes Métropole;n°147
48.0982763862, -1.69094933182;"{""type"": ""Point"", ""coordinates"": [-1.69094933182379, 48.098276386151376]}";575;8829;Rue de la Courrouze;35238;Rennes;4;;autre;2012-03-14T23:00:00Z;Rennes Métropole;n°7
48.1194444552, -1.64973494689;"{""type"": ""Point"", ""coordinates"": [-1.649734946887595, 48.11944445524421]}";584;8763;Boulevard de Vitré;35238;Rennes;3;;S 23;2012-08-26T22:00:00Z;Rennes Métropole;n°82
48.123773066, -1.69996847918;"{""type"": ""Point"", ""coordinates"": [-1.699968479183234, 48.12377306600923]}";594;9329;Rue du Recteur Paul Henry;35238;Rennes;15;;S 23;;Rennes Métropole;face au n°15 - pas de SV
48.0911971462, -1.67672013705;"{""type"": ""Point"", ""coordinates"": [-1.676720137054451, 48.09119714623685]}";596;8792;Rue Yves Noël;35238;Rennes;4;;S 23;;Rennes Métropole;n°30 - pas de SV
48.115564088, -1.67087838282;"{""type"": ""Point"", ""coordinates"": [-1.670878382817525, 48.11556408801967]}";601;9000;Avenue de Grignan;35238;Rennes;5;;S 23;1992-12-31T23:00:00Z;Rennes Métropole;n°1 - pas de SV-+2le12/07/13
